Hub_Name,Hub_Type,Location,State_Region,Geographical_Zone,Area_In_Acres,Target_Capacity_TEU_Annum,Capacity_Utilization_Pct,Utilized_Volume_TEU_Annual,Investment_Cost_Crores,Development_Phase,Connectivity_Modes,Connectivity_Matrix,Rail_Physical_Destinations,Road_Physical_Destinations,Port_Physical_Destinations,Airport_Physical_Destinations,Outbound_Rail_Pct,Outbound_Road_Pct,Outbound_Port_Pct,Outbound_Airport_Pct,Heavy_Machinery_Fleet,Catchment_Score,Avg_Freight_Speed_KmH,Real_Anchor_Industries,Industry_Driving_Distance_KM,Pipeline_Tracker,Regulatory_Layer,Transaction_Proxies_Bilty,Data_Source_Verification_Link,Source_Authentication,Verification_Status
Hyderabad Multi-Modal Logistics Park,Multi-Modal Logistics Park,Hyderabad,Telangana,South,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Bangalore Multi-Modal Logistics Park,Multi-Modal Logistics Park,Bangalore,Karnataka,South,400.0,0,0,0,1770.0,Under evaluation,null,1600 acres land identified in Mudalinganahalli and Hulikunte; state government identified Dabaspete as the site for the park for Bengaluru in Karnataka,null,null,null,null,0,0,0,0,0,0,0,null,0,Status: Under evaluation; Prop. capacity (Area in Acres): 400.00; Investment INR Cr.: 1770.00,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Pune Multi-Modal Logistics Park,Multi-Modal Logistics Park,Pune,Maharashtra,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Anantapur Multi-Modal Logistics Park,Multi-Modal Logistics Park,"Gondipalli village, Penukonda Mandal, Sathya Sai district",Andhra Pradesh,South,206.0,0,0,0,0,Detailed Project Study has been taken up,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Anantapur has emerged as prospective location based on Pre-Feasibility studies; Detailed Project Study taken up to assess potential capacity and investment; State has identified 206 acre of DKT land in Gondipalli village, Penukonda Mandal in Sathya Sai district",Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Chennai Multi-Modal Logistics Park,Multi-Modal Logistics Park,Chennai,Tamil Nadu,South,184.27,0,0,0,1423.5,Awarded,all forms of transportation,Located 52 km from Chennai Port to cut port congestion and accelerate container turnaround,null,null,Chennai Port (52 km),null,0,0,0,0,0,0,0,null,0,Status: Awarded; Prop. capacity (Area in Acres): 184.27; Investment INR Cr.: 1423.50,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,Expected to handle 7.17 million metric tonnes over 45-year concession period,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://nimbuspost.com/blog/mmlp-multi-modal-logistics-parks/ ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Nagpur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Nagpur,Maharashtra,Central,230.97,0,0,0,920.0,At bidding stage,"rail, road, intermodal",346 acres land of Jawaharlal Nehru Port Trust (JNPT) identified,Ex-Farukhnagar,null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,Maruti,0,Status: At bidding stage; Prop. capacity (Area in Acres): 230.97; Investment INR Cr.: 920.00,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,First rake of 123 Maruti cars from Ex-Farukhnagar on 28th April,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://government.economictimes.indiatimes.com/news/economy/multi-modal-logistics-park-at-nagpur-begins-commercial-operations/120761526 ; https://nhlml.org/multi-modal-logistics-park ; https://nimbuspost.com/blog/mmlp-multi-modal-logistics-parks/ ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.adaniports.com/logistics ; https://www.drishtiias.com/state-pcs-current-affairs/multi-modal-logistic-park-in-nagpur ; https://www.financialexpress.com/business/infrastructure-nhai-signs-pact-for-logistics-park-in-nagpur-3336959/ ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Patna Multi-Modal Logistics Park,Multi-Modal Logistics Park,Patna,Bihar,East,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Silchar Multi-Modal Logistics Park,Multi Modal Logistics Park (MMLP),Silchar,Assam,North-East,0,0,0,0,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,"Cabinet Committee of Economic Affairs (CCEA), Govt. of India has approved 35 locations across India for development of Multi Modal Logistics Park (MMLP).",null,https://nhlml.org/multi-modal-logistics-park,Operator (nhlml.org),Verified
Nashik Multi-Modal Logistics Park,Multi Modal Logistics Park (MMLP),Nashik,Maharashtra,West,0,0,0,0,0,Feasibility Study/DPR completed,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Feasibility Study/DPR completed for MMLP at Nashik.,"Cabinet Committee of Economic Affairs (CCEA), Govt. of India has approved 35 locations across India for development of Multi Modal Logistics Park (MMLP).",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://grokipedia.com/page/jalna_dry_port ; https://nhlml.org/multi-modal-logistics-park ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Operator (nhlml.org),Verified
Jogighopa Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Jogighopa,Assam,North-East,317.0,0,0,0,693.97,Upcoming; under construction,"Rail, road, waterways",Upcoming facility among six new cargo terminals under construction across Assam; to expand Assam logistics network and deepen multimodal connectivity across the Northeast under PM Gati Shakti National Master Plan,Jogighopa station (3-km railway siding),4-lane road to Guwahati (154-km stretch),National Waterway 2,Rupsi airport,0,0,0,0,0,0,0,null,0,Upcoming facility at Jogighopa among six new cargo terminals under construction across Assam,"GCT Policy, 2021 of the Ministry of Railways",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://nimbuspost.com/blog/mmlp-multi-modal-logistics-parks/ ; https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1 ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/ ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Visakhapatnam Multi-Modal Logistics Park,Multi-Modal Logistics Park,Visakhapatnam,Andhra Pradesh,South,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Amongst 35 MMLPs approved for development; Detailed Feasibility Report ongoing; capacity and investment would be known after the outcome of studies; All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Jalna Multi-Modal Logistics Park,Multi Modal Logistics Park (MMLP),Jalna,Maharashtra,West,427.0,20000.0,0,0,327.0,Commercial Operation started from June 2026,"Rail, Road, Multimodal","Dedicated rail link from Kasbe Sukane railway station on Mumbai-Manmad line with two rail-level platforms and three rail lines; double-stack container trains up to 1,500 meters; rail-over-bridge by IPRCL under Gati Shakti; road access via NH-52, NH-752H (Jalna-Aurangabad), NH-753 and DMIC; approximately 420 km east of Mumbai, ~320 km northeast of JNPT, Aurangabad ~60 km south; MoU between NHLML and JNPT for integrated road enhancements","Kasbe Sukane railway station (Mumbai-Manmad line); Jawaharlal Nehru Port Trust (JNPT/JNPA) at Uran, Navi Mumbai; South Central Railway; Dedicated Freight Corridors",NH-52; NH-752H connecting Jalna to Aurangabad; NH-753; Delhi-Mumbai Industrial Corridor (DMIC); Jalna town (~10 km); Aurangabad (~60 km south); Mumbai (~420 km east),"Jawaharlal Nehru Port Trust (JNPT/JNPA) Nhava Sheva, Uran, Navi Mumbai (~320-420 km); Mumbai Port",null,0,0,0,0,0,0,0,"Agro-commodities, agricultural goods, cotton bales, scrap iron, iron ore, finished steel products, textiles, plastics, iron and steel manufacturing, automobile manufacturing",60.0,"MMLP Jalna, Maharashtra. Commercial Operation started from June 2026.","Cabinet Committee of Economic Affairs (CCEA), Govt. of India has approved 35 locations across India for development of Multi Modal Logistics Park (MMLP).","CONCOR rail services post-inauguration; cargo transitioned from Maliwada ICD Aurangabad (~80 km); commodities include scrap iron, iron ore, finished steel, cotton bales, agricultural goods; projected monthly revenue Rs 1.8 crore to Rs 2.5 crore based on anticipated South Central Railway cargo volumes",https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://grokipedia.com/page/jalna_dry_port ; https://nhlml.org/multi-modal-logistics-park ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Operator (nhlml.org),Verified
Varanasi Multi-Modal Logistics Park,Multi Modal Logistics Park (MMLP),Varanasi,Uttar Pradesh,Central,0,0,0,0,0,Bid invited on PPP-DBFOT basis,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Bid for development of MMLP Varanasi, Uttar Pradesh is invited on PPP-DBFOT basis.","Bid for development invited on PPP-DBFOT basis. Cabinet Committee of Economic Affairs (CCEA), Govt. of India has approved 35 locations across India for development of Multi Modal Logistics Park (MMLP).",null,https://nhlml.org/multi-modal-logistics-park,Operator (nhlml.org),Verified
